,title,price,link
0,"Dell Inspiron 3535, AMD Ryzen 3
                                        7320U, (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15.6""(39.62 cm)/15 Month
                                        McAfee/Carbon Black/1.69kg Laptop  ","28,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0NDEzODkyMTE2MzI0MTUyOjE3Mjc0NDc2NDI6c3BfYXRmOjMwMDM0NzgyMDMxMzUzMjo6MDo6&url=%2FDell-Inspiron-Window-Office-McAfee%2Fdp%2FB0DG5CY2Y2%2Fref%3Dsr_1_1_sspa%3Fcrid%3DVHV2G5PX4CDL%26dib%3DeyJ2IjoiMSJ9.WUtMALyYfhllXTKwlRBZhc9wTzOeQcNlvOlCKxjitO8H6s2XBDtNXIkX1puL55i1Ax-VtiVP8GrvYvqN44m3MwtV3_yzmJTonsYMThu9CO_9cTDM8GP7R1Efkqh2uzsceNDtmzW_w-3_YuXLYTyhhP7sy66HTbQo5bOloeaEwdBvXBT2QcaL4nXLoL_QeFAwebQPKmTf-bITmDZTOuIEH0R1x6puG6IDU7FAQR122sg.rIXdV429DD9c0Zccte-yS9er5eDz8_FGABucOOqtlv4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727447642%26sprefix%3D%252Caps%252C1086%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","20,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0NDEzODkyMTE2MzI0MTUyOjE3Mjc0NDc2NDI6c3BfYXRmOjMwMDI1NzgzMTQ3MTIzMjo6MDo6&url=%2FAcer-Celeron-Processor-LPDDR4X-A325-45%2Fdp%2FB0D7PYTTGH%2Fref%3Dsr_1_2_sspa%3Fcrid%3DVHV2G5PX4CDL%26dib%3DeyJ2IjoiMSJ9.WUtMALyYfhllXTKwlRBZhc9wTzOeQcNlvOlCKxjitO8H6s2XBDtNXIkX1puL55i1Ax-VtiVP8GrvYvqN44m3MwtV3_yzmJTonsYMThu9CO_9cTDM8GP7R1Efkqh2uzsceNDtmzW_w-3_YuXLYTyhhP7sy66HTbQo5bOloeaEwdBvXBT2QcaL4nXLoL_QeFAwebQPKmTf-bITmDZTOuIEH0R1x6puG6IDU7FAQR122sg.rIXdV429DD9c0Zccte-yS9er5eDz8_FGABucOOqtlv4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727447642%26sprefix%3D%252Caps%252C1086%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"ASUS Vivobook 14 Thin and Light Laptop, IntelCore i3-1215U 12th Gen, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Win11/Office 2021/Fingerprint/42WHr /Blue/1.40 kg), X1404ZA-NK321WS  ","30,990",https://amazon.in//ASUS-Vivobook-IntelCore-Fingerprint-X1404ZA-NK321WS/dp/B0CCP9PH92/ref=sr_1_6?crid=VHV2G5PX4CDL&dib=eyJ2IjoiMSJ9.WUtMALyYfhllXTKwlRBZhc9wTzOeQcNlvOlCKxjitO8H6s2XBDtNXIkX1puL55i1Ax-VtiVP8GrvYvqN44m3MwtV3_yzmJTonsYMThu9CO_9cTDM8GP7R1Efkqh2uzsceNDtmzW_w-3_YuXLYTyhhP7sy66HTbQo5bOloeaEwdBvXBT2QcaL4nXLoL_QeFAwebQPKmTf-bITmDZTOuIEH0R1x6puG6IDU7FAQR122sg.rIXdV429DD9c0Zccte-yS9er5eDz8_FGABucOOqtlv4&dib_tag=se&keywords=laptop&qid=1727447642&sprefix=%2Caps%2C1086&sr=8-6
3,"HP Laptop 255 G9 (2024), AMD Athlon Silver 3050U - (4GB/256GB SSD/AMD Radeon Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" (39.62cm)/Black/1.47 kg/MS Office 2021 Pro Plus  ","21,400",https://amazon.in//HP-Laptop-255-G9-Athlon/dp/B0DH8825W6/ref=sr_1_68?crid=VHV2G5PX4CDL&dib=eyJ2IjoiMSJ9.6EwGruIgSZtqcqYlB6GbdL5TmTH5jJ2dZesdvNezhQg3I_c-Z34ETPOYJyTaGFDnAC0czzW5HqcJGFakStnML0hrcEkQ4YvCw6LZAf5BoNO933EP73i09UpIsm1ivDWaDGyKGpvyVQ_XKnJw8ODsoLLYcDMUp6whOD6hmD9blJmqGwzsFI4Z-rh4qRMZTYhMUd-8Fiz4kX0KrTXpQ9qlnxITfpalM_KJOFLOX90QOIM.Uu4DNI6wYzsH0vPN3oMkcqpuUKNTHBVx8LFCHuMQSLc&dib_tag=se&keywords=laptop&qid=1727447664&sprefix=%2Caps%2C1086&sr=8-68
4,"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15.6"" (39.6cm) FHD IPS Thin & Light Laptop (16GB/512GB SSD/Intel UHD Graphics/Win 11/MSO 21/Backlit KB/1 Yr ADP Free/Grey/1.6Kg), 83ER008DIN  ","50,490",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMDQyNzUzNzI2OTY2NTU0OjE3Mjc0NDc2NjQ6c3BfYnRmOjMwMDEwMzQ0MzMzOTUzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-12450H-Warranty-83ER008DIN%2Fdp%2FB0CNVH114V%2Fref%3Dsr_1_69_sspa%3Fcrid%3DVHV2G5PX4CDL%26dib%3DeyJ2IjoiMSJ9.6EwGruIgSZtqcqYlB6GbdL5TmTH5jJ2dZesdvNezhQg3I_c-Z34ETPOYJyTaGFDnAC0czzW5HqcJGFakStnML0hrcEkQ4YvCw6LZAf5BoNO933EP73i09UpIsm1ivDWaDGyKGpvyVQ_XKnJw8ODsoLLYcDMUp6whOD6hmD9blJmqGwzsFI4Z-rh4qRMZTYhMUd-8Fiz4kX0KrTXpQ9qlnxITfpalM_KJOFLOX90QOIM.Uu4DNI6wYzsH0vPN3oMkcqpuUKNTHBVx8LFCHuMQSLc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727447664%26sprefix%3D%252Caps%252C1086%26sr%3D8-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
5,"Dell 14 Laptop, Intel 13th Generation Core i5-1334U Processor, 8GB DDR5 & 512GB SSD, 14""(35.52cm) FHD+ AG 250nits, Windows 11 + MSO'21 + 15 Month Mcafee Antivirus, Titan Grey, Thin & Light- 1.55kg  ","50,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMDQyNzUzNzI2OTY2NTU0OjE3Mjc0NDc2NjQ6c3BfYnRmOjMwMDIwNTY0NTU0MjIzMjo6MDo6&url=%2FDell-Generation-i5-1334U-Processor-Antivirus%2Fdp%2FB0D46Q1736%2Fref%3Dsr_1_70_sspa%3Fcrid%3DVHV2G5PX4CDL%26dib%3DeyJ2IjoiMSJ9.6EwGruIgSZtqcqYlB6GbdL5TmTH5jJ2dZesdvNezhQg3I_c-Z34ETPOYJyTaGFDnAC0czzW5HqcJGFakStnML0hrcEkQ4YvCw6LZAf5BoNO933EP73i09UpIsm1ivDWaDGyKGpvyVQ_XKnJw8ODsoLLYcDMUp6whOD6hmD9blJmqGwzsFI4Z-rh4qRMZTYhMUd-8Fiz4kX0KrTXpQ9qlnxITfpalM_KJOFLOX90QOIM.Uu4DNI6wYzsH0vPN3oMkcqpuUKNTHBVx8LFCHuMQSLc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727447664%26sprefix%3D%252Caps%252C1086%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
6,"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB RAM/512GB/Win11/Office 2021/Silver/1.7 kg), X1502ZA-EJ542WS  ","47,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4Mzg2MzI2NTQ4MTE4NDA1OjE3Mjc0NDc2NzE6c3BfYXRmX25leHQ6MzAwMjUwODMxNDk0NzMyOjowOjo&url=%2FASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ542WS%2Fdp%2FB0C5Y3JBC4%2Fref%3Dsr_1_65_sspa%3Fcrid%3DVHV2G5PX4CDL%26dib%3DeyJ2IjoiMSJ9.3CTgzDfNTKhRz7F2mW2DyX5_j8wrcWEL7btbIYzb8UXiyr6VDUanclpw4VWvLs58giroof4zDvYIMy5Jw_kNoyxCyCNWTBcdU5CiG6iWKfSJeIIbiwqQC1SOg9bjzc6tFkiPwLdlEv0PadNtFeUVgkqB3RfcaMxLSoM2NWIVA9j8TbgbeBJ1INms3Q2zuFWHaHCfMzePc4VGFFhUcvo288d0alVqNE-ufMNFZoUUJ-A.4Pop2aSyEtewRhFQGlaD7CoW2UIO_mfR4pN0JKkoOvc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727447671%26sprefix%3D%252Caps%252C1086%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
7,"MSI Thin 15, Intel 13th Gen. Core i5-13420H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB/Cosmos Gray/1.86Kg), B13UC-1805IN  ","61,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4Mzg2MzI2NTQ4MTE4NDA1OjE3Mjc0NDc2NzE6c3BfYXRmX25leHQ6MzAwMjQ2MDg5NjYwNzMyOjowOjo&url=%2FMSI-i5-13420H-Windows-GeForce-B13UC-1805IN%2Fdp%2FB0CV9J1QSM%2Fref%3Dsr_1_66_sspa%3Fcrid%3DVHV2G5PX4CDL%26dib%3DeyJ2IjoiMSJ9.3CTgzDfNTKhRz7F2mW2DyX5_j8wrcWEL7btbIYzb8UXiyr6VDUanclpw4VWvLs58giroof4zDvYIMy5Jw_kNoyxCyCNWTBcdU5CiG6iWKfSJeIIbiwqQC1SOg9bjzc6tFkiPwLdlEv0PadNtFeUVgkqB3RfcaMxLSoM2NWIVA9j8TbgbeBJ1INms3Q2zuFWHaHCfMzePc4VGFFhUcvo288d0alVqNE-ufMNFZoUUJ-A.4Pop2aSyEtewRhFQGlaD7CoW2UIO_mfR4pN0JKkoOvc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727447671%26sprefix%3D%252Caps%252C1086%26sr%3D8-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
8,"(Refurbished) Dell Latitude E5450 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD Display/Windows 10 Pro/MS Office/WiFi/BT/Webcam/Intel Graphics)  ","16,500",https://amazon.in//Refurbished-Dell-Latitude-Display-Graphics/dp/B0CY5GS6DP/ref=sr_1_67?crid=VHV2G5PX4CDL&dib=eyJ2IjoiMSJ9.3CTgzDfNTKhRz7F2mW2DyX5_j8wrcWEL7btbIYzb8UXiyr6VDUanclpw4VWvLs58giroof4zDvYIMy5Jw_kNoyxCyCNWTBcdU5CiG6iWKfSJeIIbiwqQC1SOg9bjzc6tFkiPwLdlEv0PadNtFeUVgkqB3RfcaMxLSoM2NWIVA9j8TbgbeBJ1INms3Q2zuFWHaHCfMzePc4VGFFhUcvo288d0alVqNE-ufMNFZoUUJ-A.4Pop2aSyEtewRhFQGlaD7CoW2UIO_mfR4pN0JKkoOvc&dib_tag=se&keywords=laptop&qid=1727447671&sprefix=%2Caps%2C1086&sr=8-67
9,"Acer Aspire 3 Intel Core i5-1235U Processor Laptop with 35.56 cm(14"") FHD LED-Backlit IPS Display (16GB RAM/1TB SSD/WiFi 6/Intel Graphics/Win11Home) A324-51, Backlit Keyboard, Steel Gray, 1.45KG  ","39,980",https://amazon.in//Acer-Processor-LED-Backlit-Win11Home-A324-51/dp/B0DB5X7V65/ref=sr_1_68?crid=VHV2G5PX4CDL&dib=eyJ2IjoiMSJ9.3CTgzDfNTKhRz7F2mW2DyX5_j8wrcWEL7btbIYzb8UXiyr6VDUanclpw4VWvLs58giroof4zDvYIMy5Jw_kNoyxCyCNWTBcdU5CiG6iWKfSJeIIbiwqQC1SOg9bjzc6tFkiPwLdlEv0PadNtFeUVgkqB3RfcaMxLSoM2NWIVA9j8TbgbeBJ1INms3Q2zuFWHaHCfMzePc4VGFFhUcvo288d0alVqNE-ufMNFZoUUJ-A.4Pop2aSyEtewRhFQGlaD7CoW2UIO_mfR4pN0JKkoOvc&dib_tag=se&keywords=laptop&qid=1727447671&sprefix=%2Caps%2C1086&sr=8-68
